USER_ID,NUMBER_OF_RATINGS,AVERAGE_RATING_GIVEN
118205,9254,3.279068511
8405,7515,3.2083167
82418,5646,3.51691463
121535,5520,2.793115942
125794,5491,3.762975779
74142,5447,1.577473839
34576,5356,3.011669156
131904,5330,3.248874296
83090,5169,2.40491391
59477,4988,2.455092221
130767,4785,3.218913271
79159,4707,3.284682388
8963,4524,3.033377542
15617,4354,3.188791915
92011,4236,3.505665722
71975,4182,3.044117647
20132,4101,3.530724214
46470,4094,2.333659013
88820,4093,3.144637185
63147,3958,2.743683679
130459,3908,3.063843398
120575,3864,2.920031056
9544,3804,2.586093586
31122,3742,3.165820417
18611,3739,2.939823482
125978,3662,3.590114691
18138,3650,2.592328767
91193,3637,3.083172945
111549,3609,3.492241618
68026,3602,3.562048862
41267,3589,2.854694901
51703,3541,2.988844959
92269,3508,2.882839225
70201,3488,2.946817661
35128,3452,3.531575898
105580,3449,2.478254567
14705,3426,3.017367192
54465,3419,3.678122258
114406,3397,2.978216073
136268,3383,2.871120307
12131,3379,2.617490382
53346,3291,3.162412641
24688,3282,3.045856185
107326,3187,3.501098211
131347,3184,3.03611809
26867,3171,3.105960265
27469,3145,2.964387917
119048,3120,3.796794872
123606,3111,3.62729026
67346,3101,2.41599484
86529,3101,2.453563367
22901,3084,3.736057069
129583,3069,3.594819159
131894,3037,4.220777083
91867,3027,3.528576148
7201,3014,3.121433311
24219,2966,3.463587323
62812,2965,2.832040472
61168,2914,2.994166095
68063,2909,2.897731179
51558,2909,2.753523548
97853,2898,3.464975845
32344,2886,2.902460152
80092,2879,3.127301146
103223,2877,3.777024678
107640,2856,2.995098039
128258,2844,3.430907173
79531,2837,3.065385971
128309,2821,2.6258419
92956,2806,3.047933001
118754,2801,3.524098536
76630,2797,2.899356453
106441,2786,2.995872218
59414,2780,3.114748201
113668,2766,2.693600868
122995,2763,3.598262758
116189,2759,3.420804639
50297,2753,2.947693425
52260,2752,3.181322674
72008,2744,4.087463557
33736,2740,2.651094891
52009,2736,2.465826023
43194,2733,3.25521405
117144,2721,3.099044469
3907,2711,2.791036518
137202,2709,3.886858619
27053,2707,2.831363133
31404,2697,2.952354468
42929,2691,2.993311037
119531,2685,3.662942272
135425,2670,2.824344569
66763,2654,3.478899774
116317,2651,2.580535647
64843,2646,3.409108088
131961,2645,2.623440454
2261,2644,2.710854766
42204,2639,3.194012884
69793,2608,2.976610429
903,2608,2.49654908
73611,2608,3.322661043
49554,2595,3.510211946
58953,2594,3.252505783
95301,2589,3.187331016
23173,2576,2.536684783
4358,2575,3.41631068
80920,2561,2.825068333
16676,2558,3.345191556
72983,2555,3.274168297
4222,2553,3.971602037
133811,2547,4.162740479
55765,2545,3.652259332
101044,2540,2.925787402
34651,2534,3.935280189
99754,2531,3.60015804
52636,2529,3.36496639
110758,2517,3.354588796
134567,2514,3.366746221
32514,2491,3.682657567
75810,2488,3.25823955
60159,2483,3.145791381
57735,2478,2.839386602
21398,2477,3.637464675
89307,2464,2.539569805
116361,2458,3.440398698
137277,2456,3.114210098
9034,2448,3.088848039
59407,2426,3.34274526
34856,2419,3.193468375
81186,2415,3.048240166
51199,2411,3.234549979
17040,2400,3.479791667
104345,2395,3.148643006
100366,2394,3.477652464
102888,2391,3.310748641
54305,2384,3.03942953
3318,2382,3.069479429
10303,2374,3.51769166
43545,2369,2.718024483
112988,2368,3.456925676
75678,2358,3.545589483
66836,2351,2.684602297
75299,2345,3.463539446
24830,2339,3.415775973
70936,2337,3.133718442
25978,2328,3.554553265
25101,2328,3.211340206
62040,2321,3.722533391
104043,2321,2.656828953
15478,2320,2.52112069
9087,2315,3.178401728
131651,2313,3.551232166
39181,2310,3.681818182
26193,2310,3.435714286
40058,2306,3.270598439
21163,2305,3.014967462
133372,2300,3.31326087
77696,2298,3.371192341
123352,2298,3.233246301
89242,2289,3.860856269
65401,2285,3.358424508
15486,2278,2.91571554
33082,2276,2.358304042
73026,2268,3.053571429
66263,2265,3.57615894
100134,2259,2.681053564
98865,2257,3.641338059
121930,2248,2.922820285
54107,2244,3.946524064
106939,2243,4.16629514
46396,2241,3.192324855
138208,2228,2.659560144
45987,2222,2.73469847
50943,2219,3.171022983
68575,2218,2.681018936
60887,2216,1.734205776
33349,2216,3.165613718
741,2212,2.803345389
62160,2207,2.939510648
6719,2206,3.451269266
134773,2204,3.164473684
37317,2200,3.425227273
80771,2199,3.181673488
58069,2195,2.893621868
89402,2192,3.22810219
41079,2191,3.490643542
101861,2189,2.826633166
120948,2189,3.252398355
21391,2187,3.122999543
29499,2183,3.486944572
982,2183,3.199496106
156,2179,3.611289582
21861,2174,3.530818767
66810,2171,3.218102257
137686,2168,3.430350554
18628,2167,3.004383941
130622,2165,2.739722864
10761,2164,2.689001848
54113,2161,4.172142527
110706,2159,2.049096804
91349,2159,3.874942103
42096,2158,3.200185357
134401,2157,2.666434863
113081,2156,3.402365492
67527,2156,2.990491651
89495,2153,3.624477473
80668,2153,3.319554111
137343,2147,2.486259898
76292,2144,2.507229478
16938,2138,3.721000935
136599,2134,3.51968135
135090,2131,2.739558893
24661,2128,3.47556391
51075,2124,3.401836158
66617,2121,2.616218765
98420,2120,2.909198113
59852,2113,3.871982963
96370,2108,3.398956357
67443,2106,3.31671415
92499,2101,3.495240362
41613,2100,3.99452381
113991,2099,3.252024774
66533,2099,3.529537875
81706,2097,2.843347639
113806,2090,3.972727273
89299,2090,3.076794258
65304,2086,3.477948226
90968,2080,2.994230769
101127,2080,3.869711538
86839,2079,3.123376623
116302,2079,3.498556999
12767,2075,3.234698795
53998,2068,3.627901354
72401,2063,2.72394571
43384,2063,3.093553078
106676,2058,2.730806608
123297,2055,3.863746959
6636,2052,3.708820663
129540,2050,3.44195122
124831,2039,3.51397744
80207,2037,3.198330879
79366,2034,3.549901672
41283,2030,4.059605911
130191,2029,3.75036964
102911,2025,2.300987654
39214,2024,3.761857708
75469,2024,2.766057312
68558,2024,3.086462451
78356,2018,3.39147671
109883,2014,3.09632572
53640,2013,3.349975161
19590,2006,3.374376869
15701,2004,3.151197605
117395,2004,2.904191617
23061,2002,3.631868132
103654,2001,2.958270865
127256,1998,3.412412412
98206,1994,2.784854564
127138,1993,3.715755143
113209,1989,3.083459025
114412,1988,3.462273642
37253,1985,1.765239295
105498,1984,3.703881048
47439,1983,3.954109934
62925,1981,3.007824331
44241,1978,3.940343782
17333,1973,3.695894577
4507,1969,3.315388522
95254,1960,2.837244898
775,1957,3.375574859
10514,1956,2.676124744
107356,1956,3.252556237
11900,1956,2.968813906
83275,1954,3.194216991
76155,1951,3.380061507
93234,1951,3.00871348
116498,1948,3.535677618
27482,1948,3.32238193
16606,1948,3.295174538
41638,1947,3.625064201
104347,1944,3.006944444
113610,1941,2.947192169
3797,1938,2.915634675
35227,1934,3.28516029
15718,1933,3.448008277
69683,1932,3.326863354
10678,1931,3.077421025
52877,1931,3.407819782
6373,1929,2.674701918
11719,1928,2.949948133
99342,1923,3.507800312
112762,1920,3.561197917
80185,1920,2.950260417
119367,1919,3.517978114
59544,1918,3.199687174
60018,1914,2.915621735
76437,1913,2.783063251
94377,1913,3.004443283
102025,1913,3.928384736
32094,1908,3.419287212
66649,1904,3.267594538
34587,1897,2.422245651
14280,1896,3.397943038
101458,1893,3.322239831
93152,1888,3.238347458
99499,1888,3.57309322
45015,1876,2.939232409
91626,1874,3.419957311
33402,1868,3.552462527
64060,1866,3.642818864
102680,1865,3.3230563
56504,1865,3.457372654
84849,1864,3.567596567
65529,1862,2.237379162
42032,1860,3.238978495
9545,1859,3.007799892
133133,1859,3.16218397
3858,1858,2.59795479
84476,1852,2.777267819
63046,1850,3.480810811
68358,1848,3.287608225
57716,1846,2.867280607
120572,1845,3.298915989
48677,1844,2.886659436
50168,1843,1.62967987
18706,1843,2.911557244
85926,1840,2.385597826
116263,1838,3.078618063
80886,1835,3.526975477
51507,1830,3.812021858
35109,1822,3.008781559
106906,1821,3.729818781
115606,1817,3.410842047
114095,1814,3.020948181
16865,1813,2.963596249
42369,1811,3.564605191
9930,1806,3.301771872
60361,1802,3.5
31181,1799,3.532240133
77884,1798,3.100945495
42069,1791,3.165270798
136054,1789,3.385410844
112365,1789,2.71352711
114624,1789,3.269424259
27054,1786,2.974244121
108248,1785,2.712044818
134690,1783,3.694615816
21070,1776,4.096283784
91893,1775,3.06
768,1769,3.206048615
135795,1767,2.421901528
131275,1766,3.767270668
21078,1765,2.982152975
5843,1765,3.683286119
110826,1762,2.738649262
66401,1762,3.499148695
110858,1761,3.398921068
117315,1757,3.751565168
77018,1757,3.62749004
16162,1756,3.395501139
10443,1754,2.751140251
24127,1752,3.229166667
18415,1750,4.139428571
13064,1749,2.822184105
67075,1747,2.504579279
23190,1747,3.171722954
89364,1745,3.110601719
130477,1745,3.083381089
115811,1744,3.042431193
97826,1744,3.506307339
3284,1742,3.733639495
74054,1740,3.64683908
111959,1737,3.899827288
52116,1737,2.3791019
32984,1735,3.197982709
104063,1732,3.310334873
27278,1731,3.397458117
29037,1731,2.93818602
19711,1729,3.257374205
102038,1729,3.162810873
23523,1727,3.302258251
87561,1726,3.850521437
10321,1724,3.123549884
74937,1723,2.255948926
40483,1723,2.653801509
113181,1721,3.153980244
28398,1721,2.593550261
86722,1721,2.670830912
4967,1719,3.280686446
60181,1718,3.207217695
80501,1716,3.306235431
54494,1715,3.581341108
78308,1713,2.707822534
46744,1713,3.746643316
23599,1711,3.065166569
96601,1703,3.114797416
12644,1703,2.938931298
48644,1703,3.533763946
138325,1700,4.361470588
121894,1698,2.923144876
28195,1697,3.217442546
11434,1696,3.061025943
81487,1696,3.444870283
103986,1695,2.473156342
70816,1695,3.305014749
18191,1694,2.8364817
8805,1692,3.059101655
49817,1692,3.561170213
29575,1690,2.782248521
76213,1689,3.159265838
137885,1689,2.783895796
108967,1687,3.262003557
8647,1687,2.882631891
137037,1686,2.756227758
50367,1686,2.826215896
134497,1685,3.897032641
88773,1683,3.882055853
70379,1682,3.301129608
124633,1682,2.262187872
3397,1680,2.601190476
105588,1677,3.153846154
25411,1676,3.202863962
23180,1676,3.248806683
113075,1676,3.28221957
106308,1675,3.494328358
6099,1674,3.591995221
60762,1674,2.766129032
13494,1673,3.688882247
38335,1671,3.880909635
9562,1670,4.039221557
118955,1670,2.809281437
117948,1669,3.393349311
15529,1668,2.755695444
49212,1667,3.297240552
58426,1665,3.202402402
136875,1663,3.377630788
61696,1661,3.504816376
105357,1660,3.420481928
77247,1659,3.645871007
76737,1658,3.703558504
29069,1654,3.612152358
59873,1647,3.002125076
85640,1641,3.535953687
118848,1638,3.435897436
119271,1637,2.741295052
44654,1634,3.535495716
110190,1632,3.788296569
100781,1628,3.220208845
114579,1628,3.26044226
4276,1626,2.821340713
12793,1626,3.087330873
125178,1625,3.635384615
7828,1625,2.693538462
110847,1623,3.669747381
74289,1623,2.434996919
94976,1623,2.673136168
130987,1622,3.181565968
18354,1619,3.205064855
81267,1618,3.245673671
94259,1618,2.942521632
108142,1616,2.982363861
10989,1616,3.530012376
97602,1615,3.340247678
38160,1614,3.322800496
4450,1613,2.875697458
94013,1612,3.841191067
122436,1612,3.079404467
13623,1612,3.358870968
11081,1611,2.442892613
76972,1610,3.346583851
89081,1609,3.87072716
53853,1608,2.862251244
84752,1608,2.848258706
32632,1603,3.717092951
58667,1601,3.957526546
51227,1598,2.99155194
35834,1598,3.434918648
71170,1597,3.078897934
103291,1597,3.400125235
118999,1595,3.673040752
104824,1595,2.928526646
