GENRE,AVERAGE_RATING,TOTAL_MOVIES
Film-Noir,3.965381261,322
War,3.809530735,1173
Documentary,3.739717683,2391
Crime,3.674527603,2889
Drama,3.674295509,13062
Mystery,3.663508921,1489
IMAX,3.655945983,195
Animation,3.617493924,1015
Western,3.570498025,656
Musical,3.558090629,1016
Romance,3.541802582,4029
Thriller,3.507111218,4129
Fantasy,3.505945336,1398
Adventure,3.501892657,2287
Action,3.443863765,3466
Sci-Fi,3.436772671,1720
Comedy,3.426011305,8232
Children,3.408113769,1118
Horror,3.27722381,2590
(no genres listed),3.006925208,242
