TAG_NAME,AVG_RELEVANCE,MOVIES_TAGGED
Original,0.7305456025,10381
Mentor,0.5302514979,10381
Great Ending,0.4995519603,10381
Dialogue,0.4908958289,10381
Good Soundtrack,0.4556303343,10381
Catastrophe,0.4510150949,10381
Storytelling,0.4484949716,10381
Story,0.4270742799,10381
Great,0.4267337251,10381
Good,0.4248163664,10381
Runaway,0.416911521,10381
Brutality,0.4088552837,10381
Culture Clash,0.3908022445,10381
Criterion,0.3882211155,10381
Life Philosophy,0.3864262113,10381
Melancholic,0.3853068587,10381
Pornography,0.3813003468,10381
Destiny,0.3764790386,10381
Adaptation,0.3736248049,10381
Talky,0.3612464791,10381
Drama,0.3611089972,10381
Weird,0.3611028899,10381
Visually Appealing,0.3608305751,10381
Redemption,0.3530636837,10381
Pg-13,0.3508824583,10381
Predictable,0.3482439168,10381
Cinematography,0.3468084481,10381
Great Acting,0.3457973702,10381
Chase,0.3418733455,10381
Greed,0.3399759753,10381
Vengeance,0.3383729698,10381
Fun Movie,0.3374330604,10381
Social Commentary,0.3371702148,10381
Clever,0.33290525,10381
Imdb Top 250,0.3319045468,10381
Enigmatic,0.3285735575,10381
Suspense,0.3265079857,10381
Childhood,0.3257657258,10381
Adapted From:Book,0.3255081013,10381
Suprisingly Clever,0.3253021867,10381
Harsh,0.3249258357,10381
Fantasy World,0.3241256141,10381
Oscar (Best Directing),0.3229287159,10381
Twists & Turns,0.3225333398,10381
Loneliness,0.3212798574,10381
Complex,0.3211619979,10381
Unusual Plot Structure,0.3202730469,10381
Interesting,0.3198163761,10381
Corruption,0.3193845872,10381
Stylized,0.3173989693,10381
Entirely Dialogue,0.3136938638,10381
Intense,0.313415355,10381
Betrayal,0.3118998073,10381
Very Funny,0.3112742992,10381
Police Investigation,0.3111423755,10381
Family,0.3111393315,10381
First Contact,0.3111096426,10381
Transformation,0.3106020422,10381
Great Movie,0.3097991138,10381
Very Interesting,0.3086001638,10381
Violence,0.3074117522,10381
Life & Death,0.3049002119,10381
Light,0.3047451691,10381
Death,0.3015356035,10381
Not Funny,0.301123254,10381
Fight Scenes,0.3004270013,10381
Dramatic,0.29947008,10381
So Bad It's Funny,0.2940189481,10381
Quirky,0.2912179366,10381
Justice,0.2893213563,10381
Cerebral,0.2891336769,10381
Visually Stunning,0.2866299008,10381
Relationships,0.2825748194,10381
Unlikely Friendships,0.2814011078,10381
Reflective,0.2809164917,10381
Beautiful Scenery,0.2797939216,10381
Oscar (Best Actress),0.2791607938,10381
Narrated,0.2780398998,10381
Nudity (Full Frontal - Brief),0.2777296022,10381
Visual,0.2771934785,10381
Cult Film,0.2767630575,10381
Excellent Script,0.2765213756,10381
Secrets,0.2764989885,10381
Sexy,0.2764486755,10381
Lone Hero,0.2759477892,10381
Based On A Book,0.2739174068,10381
Revenge,0.2707041325,10381
Drinking,0.2704265389,10381
Atmospheric,0.2703901647,10381
Cult Classic,0.2682840189,10381
Plot,0.2678740102,10381
Good Acting,0.2675015316,10381
Violent,0.2670764377,10381
Grindhouse,0.2659983528,10381
Obsession,0.2658435026,10381
Action,0.2654768327,10381
Feel-Good,0.2652255563,10381
Happy Ending,0.2642110779,10381
Existentialism,0.2636698969,10381
Oscar (Best Supporting Actress),0.2626662942,10381
Weapons,0.2624231577,10381
Entertaining,0.2619585396,10381
Absurd,0.2601598208,10381
Murder,0.2591906945,10381
Honest,0.2587059628,10381
Stereotypes,0.258087612,10381
Allegory,0.2577712166,10381
Sexualized Violence,0.2574167999,10381
Gangsters,0.2561410558,10381
Passionate,0.2556275985,10381
Creativity,0.2551619112,10381
Based On Book,0.2528793854,10381
Male Nudity,0.2520698102,10381
Fun,0.2511177343,10381
Friendship,0.2508275118,10381
Comedy,0.2506395627,10381
Exceptional Acting,0.2497840092,10381
Writers,0.249520605,10381
Intimate,0.2493928234,10381
Classic Car,0.2476556497,10381
Good Action,0.2470337154,10381
Nocturnal,0.2456806859,10381
Very Good,0.2455270302,10381
Unfunny,0.2451640015,10381
Romantic,0.2432988826,10381
Gunfight,0.2432966959,10381
Dark Hero,0.2426482998,10381
Romance,0.2407520277,10381
Special Effects,0.2407511993,10381
Nudity (Topless - Notable),0.2407148541,10381
Love Story,0.2406767267,10381
Witty,0.2405614777,10381
Original Plot,0.2405307485,10381
Golden Palm,0.2398239669,10381
Bad Plot,0.2393972546,10381
Nudity (Full Frontal - Notable),0.2382409305,10381
Crime Gone Awry,0.237787901,10381
Oscar,0.2374173779,10381
Crude Humor,0.2369308448,10381
Dysfunctional Family,0.2367819478,10381
Pointless,0.2360429149,10381
Sci Fi,0.2360155476,10381
Surreal,0.2349984973,10381
Sacrifice,0.2345721799,10381
Silly Fun,0.2322264811,10381
Psychological,0.2314833638,10381
Feel Good Movie,0.2312550525,10381
Natural Disaster,0.2302111839,10381
Beautifully Filmed,0.2301902322,10381
Affectionate,0.2297470957,10381
Oscar Winner,0.2295397264,10381
Bad Ending,0.2292445236,10381
Underrated,0.2284957326,10381
Goofy,0.2280860996,10381
Movielens Top Pick,0.2273937193,10381
Multiple Storylines,0.2271481745,10381
Tense,0.2244820249,10381
Idealism,0.2221830941,10381
